# CBS Transaction File — CSV (comma-separated)
# Format: CBS_TXN_ID,ACCT_DR,ACCT_CR,AMT,CCY,TXN_DT,TXN_TYPE,NARRATION,BRANCH_CODE,MAKER_ID,FROM_BANK,TO_BANK
# FROM_BANK = bank that owns the debit account (ACCT_DR)
# TO_BANK   = bank that owns the credit account (ACCT_CR)
# Date format: yyyyMMdd
# TXN_TYPE values: CREDIT, DEBIT
# Valid debit accounts : ACC-HDFC-001, ACC-HDFC-002, ACC-HDFC-003, ACC-HDFC-004,
#                        ACC-HDFC-005, ACC-HDFC-006, ACC-HDFC-007, ACC-HDFC-008,
#                        ACC-HDFC-009, ACC-HDFC-010, ACC-ICICI-007, ACC-SBI-009, ACC-KOTAK-010
CBS_TXN_ID,ACCT_DR,ACCT_CR,AMT,CCY,TXN_DT,TXN_TYPE,NARRATION,BRANCH_CODE,MAKER_ID,FROM_BANK,TO_BANK
C001,ACC-HDFC-001,ACC-HDFC-002,25000.00,INR,20260402,CREDIT,Salary credit March 2026,BLR001,EMP4521,HDFC Bank,HDFC Bank
C002,ACC-HDFC-003,ACC-HDFC-004,12000.00,INR,20260402,DEBIT,Vendor payment April 2026,MUM002,EMP7834,HDFC Bank,HDFC Bank
C003,ACC-HDFC-005,ACC-HDFC-001,8500.00,INR,20260403,CREDIT,Rent reimbursement Q1,DEL003,EMP1122,HDFC Bank,HDFC Bank
C004,ACC-HDFC-002,ACC-HDFC-006,45000.00,INR,20260403,CREDIT,Bonus disbursement FY26,HYD004,EMP3341,HDFC Bank,HDFC Bank
C005,ACC-HDFC-007,ACC-HDFC-008,3200.00,INR,20260404,DEBIT,Utility bill payment April,CHN005,EMP6612,HDFC Bank,HDFC Bank
C006,ACC-HDFC-009,ACC-SBI-009,18000.00,INR,20260404,DEBIT,Vendor payment to SBI customer,BLR001,EMP9901,HDFC Bank,SBI Bank
C007,ACC-HDFC-010,ACC-ICICI-007,22000.00,INR,20260404,CREDIT,Commission credit April,BLR002,EMP2210,HDFC Bank,ICICI Bank
C008,ACC-SBI-009,ACC-HDFC-001,15000.00,INR,20260405,CREDIT,SBI to HDFC transfer,MUM003,EMP5501,SBI Bank,HDFC Bank
C009,ACC-HDFC-003,ACC-HDFC-005,9800.00,INR,20260405,DEBIT,Office supplies payment,DEL004,EMP8812,HDFC Bank,HDFC Bank
C010,ACC-ICICI-007,ACC-HDFC-002,31000.00,INR,20260405,CREDIT,ICICI to HDFC salary,CHN006,EMP3390,ICICI Bank,HDFC Bank
C011,ACC-HDFC-004,ACC-KOTAK-010,7500.00,INR,20260406,DEBIT,Kotak vendor payment,HYD005,EMP7711,HDFC Bank,Kotak Bank
C012,ACC-KOTAK-010,ACC-HDFC-004,7500.00,INR,20260406,CREDIT,Kotak refund to HDFC,BLR003,EMP1234,Kotak Bank,HDFC Bank
C013,ACC-HDFC-006,ACC-SBI-009,55000.00,INR,20260406,DEBIT,Bulk payment to SBI account,MUM004,EMP9988,HDFC Bank,SBI Bank
C014,ACC-HDFC-007,ACC-HDFC-009,4100.00,INR,20260407,CREDIT,Internal branch transfer,DEL005,EMP4450,HDFC Bank,HDFC Bank
C015,ACC-SBI-009,ACC-HDFC-005,28000.00,INR,20260407,CREDIT,SBI fund transfer April,CHN007,EMP2213,SBI Bank,HDFC Bank
C016,ACC-HDFC-008,ACC-HDFC-010,6700.00,INR,20260407,DEBIT,Subscription fee debit,HYD006,EMP6650,HDFC Bank,HDFC Bank
C017,ACC-HDFC-001,ACC-ICICI-007,19500.00,INR,20260407,DEBIT,Payment to ICICI merchant,BLR004,EMP8823,HDFC Bank,ICICI Bank
C018,ACC-ICICI-007,ACC-HDFC-003,14200.00,INR,20260408,CREDIT,ICICI to HDFC payroll,MUM005,EMP5531,ICICI Bank,HDFC Bank
C019,ACC-HDFC-002,ACC-HDFC-007,11000.00,INR,20260408,DEBIT,Inter-account debit April,DEL006,EMP3341,HDFC Bank,HDFC Bank
C020,ACC-HDFC-005,ACC-SBI-009,33000.00,INR,20260408,DEBIT,HDFC to SBI transfer,CHN008,EMP7712,HDFC Bank,SBI Bank
C021,ACC-SBI-009,ACC-HDFC-006,42000.00,INR,20260408,CREDIT,SBI bulk credit to HDFC,HYD007,EMP2290,SBI Bank,HDFC Bank
C022,ACC-HDFC-009,ACC-HDFC-010,5500.00,INR,20260408,CREDIT,Savings transfer April,BLR005,EMP1180,HDFC Bank,HDFC Bank
C023,ACC-KOTAK-010,ACC-SBI-009,17000.00,INR,20260408,DEBIT,Kotak to SBI payment,MUM006,EMP9910,Kotak Bank,SBI Bank
C024,ACC-HDFC-003,ACC-KOTAK-010,8900.00,INR,20260408,DEBIT,HDFC vendor to Kotak,DEL007,EMP6677,HDFC Bank,Kotak Bank
C025,ACC-HDFC-004,ACC-HDFC-001,13500.00,INR,20260408,CREDIT,Current to savings credit,CHN009,EMP4402,HDFC Bank,HDFC Bank
